Numero Nota Fiscal,Codigo do Produto,Descricao do Produto,Unidade,Quantidade
NF-TREINO-001,3001,CABO 2.5MM,UN,10
NF-TREINO-001,3002,DISJUNTOR,UN,5
NF-TREINO-001,3003,CAIXA 4X2,UN,20
NF-TREINO-002,4001,TUBO ESGOTO,UN,4
NF-TREINO-002,4002,COVELO,UN,10
NF-TREINO-003,4001,TUBO ESGOTO,UN,4
NF-TREINO-003,4002,COVELO,UN,10
NF-TREINO-004,2001,PISO,UN,5
NF-TREINO-004,2002,ARGAMASSA AC3,UN,2
NF-TREINO-005,9675,CIMENTO,UN,20
NF-TREINO-005,17704,TIJOLO,UN,1000
NF-TREINO-006,9675,CIMENTO,UN,20
NF-TREINO-006,17704,TIJOLO,UN,1000
NF-TREINO-007,2001,PISO,UN,5
NF-TREINO-007,2002,ARGAMASSA AC3,UN,2
NF-TREINO-008,3001,CABO 2.5MM,UN,10
NF-TREINO-008,3002,DISJUNTOR,UN,5
NF-TREINO-008,3003,CAIXA 4X2,UN,20
NF-TREINO-009,2001,PISO,UN,5
NF-TREINO-009,2002,ARGAMASSA AC3,UN,2
NF-TREINO-010,3001,CABO 2.5MM,UN,10
NF-TREINO-010,3002,DISJUNTOR,UN,5
NF-TREINO-010,3003,CAIXA 4X2,UN,20
NF-TREINO-011,2001,PISO,UN,5
NF-TREINO-011,2002,ARGAMASSA AC3,UN,2
NF-TREINO-012,3001,CABO 2.5MM,UN,10
NF-TREINO-012,3002,DISJUNTOR,UN,5
NF-TREINO-012,3003,CAIXA 4X2,UN,20
NF-TREINO-013,2001,PISO,UN,5
NF-TREINO-013,2002,ARGAMASSA AC3,UN,2
NF-TREINO-014,2001,PISO,UN,5
NF-TREINO-014,2002,ARGAMASSA AC3,UN,2
NF-TREINO-015,6000,AREIA CARRADA,UN,1
NF-TREINO-016,2001,PISO,UN,5
NF-TREINO-016,2002,ARGAMASSA AC3,UN,2
NF-TREINO-017,4001,TUBO ESGOTO,UN,4
NF-TREINO-017,4002,COVELO,UN,10
NF-TREINO-018,2001,PISO,UN,5
NF-TREINO-018,2002,ARGAMASSA AC3,UN,2
NF-TREINO-019,4001,TUBO ESGOTO,UN,4
NF-TREINO-019,4002,COVELO,UN,10
NF-TREINO-020,2001,PISO,UN,5
NF-TREINO-020,2002,ARGAMASSA AC3,UN,2
NF-TREINO-021,4001,TUBO ESGOTO,UN,4
NF-TREINO-021,4002,COVELO,UN,10
NF-TREINO-022,6000,AREIA CARRADA,UN,1
NF-TREINO-023,4001,TUBO ESGOTO,UN,4
NF-TREINO-023,4002,COVELO,UN,10
NF-TREINO-024,9675,CIMENTO,UN,20
NF-TREINO-024,17704,TIJOLO,UN,1000
NF-TREINO-025,4001,TUBO ESGOTO,UN,4
NF-TREINO-025,4002,COVELO,UN,10
NF-TREINO-026,4001,TUBO ESGOTO,UN,4
NF-TREINO-026,4002,COVELO,UN,10
NF-TREINO-027,6000,AREIA CARRADA,UN,1
NF-TREINO-028,6000,AREIA CARRADA,UN,1
NF-TREINO-029,3001,CABO 2.5MM,UN,10
NF-TREINO-029,3002,DISJUNTOR,UN,5
NF-TREINO-029,3003,CAIXA 4X2,UN,20
NF-TREINO-030,2001,PISO,UN,5
NF-TREINO-030,2002,ARGAMASSA AC3,UN,2
NF-TREINO-031,3001,CABO 2.5MM,UN,10
NF-TREINO-031,3002,DISJUNTOR,UN,5
NF-TREINO-031,3003,CAIXA 4X2,UN,20
NF-TREINO-032,4001,TUBO ESGOTO,UN,4
NF-TREINO-032,4002,COVELO,UN,10
NF-TREINO-033,6000,AREIA CARRADA,UN,1
NF-TREINO-034,2001,PISO,UN,5
NF-TREINO-034,2002,ARGAMASSA AC3,UN,2
NF-TREINO-035,6000,AREIA CARRADA,UN,1
NF-TREINO-036,4001,TUBO ESGOTO,UN,4
NF-TREINO-036,4002,COVELO,UN,10
NF-TREINO-037,6000,AREIA CARRADA,UN,1
NF-TREINO-038,6000,AREIA CARRADA,UN,1
NF-TREINO-039,3001,CABO 2.5MM,UN,10
NF-TREINO-039,3002,DISJUNTOR,UN,5
NF-TREINO-039,3003,CAIXA 4X2,UN,20
NF-TREINO-040,2001,PISO,UN,5
NF-TREINO-040,2002,ARGAMASSA AC3,UN,2
NF-TREINO-041,9675,CIMENTO,UN,20
NF-TREINO-041,17704,TIJOLO,UN,1000
NF-TREINO-042,4001,TUBO ESGOTO,UN,4
NF-TREINO-042,4002,COVELO,UN,10
NF-TREINO-043,6000,AREIA CARRADA,UN,1
NF-TREINO-044,3001,CABO 2.5MM,UN,10
NF-TREINO-044,3002,DISJUNTOR,UN,5
NF-TREINO-044,3003,CAIXA 4X2,UN,20
NF-TREINO-045,3001,CABO 2.5MM,UN,10
NF-TREINO-045,3002,DISJUNTOR,UN,5
NF-TREINO-045,3003,CAIXA 4X2,UN,20
NF-TREINO-046,2001,PISO,UN,5
NF-TREINO-046,2002,ARGAMASSA AC3,UN,2
NF-TREINO-047,4001,TUBO ESGOTO,UN,4
NF-TREINO-047,4002,COVELO,UN,10
NF-TREINO-048,2001,PISO,UN,5
NF-TREINO-048,2002,ARGAMASSA AC3,UN,2
NF-TREINO-049,4001,TUBO ESGOTO,UN,4
NF-TREINO-049,4002,COVELO,UN,10
NF-TREINO-050,9675,CIMENTO,UN,20
NF-TREINO-050,17704,TIJOLO,UN,1000
